event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC 175,chris weidman,lyoto machida,Red,UFC Middleweight Title,1,Men,Decision - Unanimous,5,5,300,Herb Dean,0,65,177,0.36,90,206,0.44,5,13,0.38,0,0,278,15,7,39,187.96,83.91,198.12,Orthodox,2.98,3.27,0.43,0.43,0.5,0.65,0.8,3.6,0,58,139,0.41,63,145,0.43,0,0,0,0,0,19,24,8,45,185.42,83.91,187.96,Southpaw,2.59,1.57,0.53,0.65,0.61,0.75,0.4,1.21,0,7,38,-0.05,27,61,0.01,5,13,0.38,0,0,259,-9,-1,-6,2.5400000000000205,0,10.159999999999997,0.3900000000000001,1.7,-0.1,-0.22,-0.11,-0.1,0.4,2.39
UFC on FOX,robbie lawler,matt brown,Red,Welterweight,0,Men,Decision - Unanimous,5,5,300,John McCarthy,0,80,200,0.4,87,207,0.42,2,2,1,0,0,237,30,16,42,180.34,77.11,187.96,Southpaw,3.85,4.67,0.47,0.64,0.59,0.65,0,0.65,0,82,242,0.33,89,250,0.36,2,8,0.25,0,0,70,26,19,43,182.88,77.11,190.5,Orthodox,3.76,2.92,0.55,0.46,0.55,0.63,1.3,1.68,0,-2,-42,0.07,-2,-43,0.06,0,-6,0.75,0,0,167,4,-3,-1,-2.54,0,-2.54,0.09,1.75,-0.08,0.18,0.04,0.02,-1.3,-1.03
UFC 178,tim kennedy,yoel romero,Blue,Middleweight,0,Men,KO/TKO,3,3,58,John McCarthy,0,30,86,0.34,32,88,0.36,0,6,0,1,0,1,18,6,44,180.34,83.91,187.96,Orthodox,2.78,1.84,0.47,0.35,0.62,0.7,0.7,2.58,2,39,80,0.48,51,93,0.55,3,4,0.75,0,0,126,13,5,46,182.88,83.91,185.42,Southpaw,3.44,3.05,0.49,0.3,0.6,0.78,0,1.57,-2,-9,6,-0.14,-19,-5,-0.19,-3,2,-0.75,1,0,-125,5,1,-2,-2.54,0,2.5400000000000205,-0.66,-1.21,-0.02,0.05,0.02,-0.08,0.7,1.01
UFC 169,jamie varner,abel trujillo,Blue,Lightweight,0,Men,KO/TKO,2,3,152,Dan Miragliotta,0,36,96,0.37,51,122,0.42,0,0,0,1,0,150,21,11,39,172.72,70.31,180.34,Orthodox,2.92,2.55,0.34,0.53,0.58,0.66,0.8,3.49,1,18,79,0.22,27,88,0.31,0,3,0,0,0,9,15,8,40,172.72,70.31,177.8,Orthodox,2.65,2.31,0.41,0.45,0.59,0.4,0.4,2.18,-1,18,17,0.15,24,34,0.1099999999999999,0,-3,0,1,0,141,6,3,-1,0,0,2.539999999999992,0.27,0.2399999999999997,-0.07,0.08,-0.01,0.26,0.4,1.31
UFC Fight Night,tarec saffiedine,hyun gyu lim,Red,Welterweight,0,Men,Decision - Unanimous,5,5,300,Leon Roberts,3,120,202,0.59,166,248,0.67,1,3,0.33,1,0,379,16,7,37,177.8,77.11,177.8,Switch,4.05,3.06,0.47,0.36,0.62,0.84,0.1,0.52,0,122,277,0.44,126,282,0.45,0,0,0,1,0,19,13,7,39,190.5,77.11,195.58,Orthodox,4.45,5.07,0.41,1,0.51,0.73,0.2,0.23,3,-2,-75,0.1499999999999999,40,-34,0.22,1,3,0.33,0,0,360,3,0,-2,-12.7,0,-17.78,-0.4,-2.01,0.06,-0.64,0.1099999999999999,0.1099999999999999,-0.1,0.29
UFC Fight Night,yoel romero,derek brunson,Red,Middleweight,0,Men,KO/TKO,3,3,203,Blake Grice,0,60,94,0.63,87,122,0.71,0,4,0,0,0,53,13,5,46,182.88,83.91,185.42,Southpaw,3.44,3.05,0.49,0.3,0.6,0.78,0,1.57,0,38,94,0.4,56,112,0.5,3,5,0.6,0,0,176,23,9,40,185.42,83.91,195.58,Southpaw,3.51,3.05,0.47,0.33,0.51,0.85,0.6,3.14,0,22,0,0.2299999999999999,31,10,0.2099999999999999,-3,-1,-0.6,0,0,-123,-10,-4,6,-2.54,0,-10.16,-0.07,0,0.02,-0.03,0.09,-0.07,-0.6,-1.57
UFC on FOX,alex caceres,sergio pettis,Red,Bantamweight,0,Men,Submission,3,3,279,Herb Dean,1,53,164,0.32,56,168,0.33,1,1,1,1,0,93,21,14,35,177.8,65.77,185.42,Southpaw,4.16,2.93,0.5,0.68,0.63,0.64,0.7,0.56,0,49,177,0.27,49,177,0.28,1,2,0.5,0,0,13,18,5,30,167.64,56.7,175.26,Orthodox,3.88,2.91,0.37,0.4,0.65,0.67,0.4,0.85,1,4,-13,0.05,7,-9,0.05,0,-1,0.5,1,0,80,3,9,5,10.160000000000023,9.069999999999991,10.159999999999997,0.2800000000000002,0.02,0.13,0.28,-0.02,-0.03,0.2999999999999999,-0.29
UFC Fight Night,cub swanson,jeremy stephens,Red,Featherweight,0,Men,Decision - Unanimous,5,5,300,Herb Dean,0,87,219,0.39,103,236,0.44,0,0,0,0,0,14,29,13,40,172.72,65.77,177.8,Orthodox,4.7,3.84,0.5,0.52,0.59,0.61,0.4,1.09,0,65,228,0.28,76,239,0.32,2,8,0.25,0,0,193,28,19,37,175.26,65.77,180.34,Orthodox,3.17,3.05,0.4,0.38,0.58,0.65,0.4,1.16,0,22,-9,0.1099999999999999,27,-3,0.12,-2,-8,-0.25,0,0,-179,1,-6,3,-2.54,0,-2.54,1.5300000000000002,0.79,0.1,0.14,0.01,-0.04,0,-0.07
UFC 178,donald cerrone,eddie alvarez,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,John McCarthy,1,88,166,0.53,101,182,0.55,0,2,0,0,0,117,36,17,40,185.42,70.31,185.42,Orthodox,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,0,48,138,0.34,64,157,0.41,0,5,0,0,0,37,29,6,40,175.26,70.31,175.26,Orthodox,4.32,4.39,0.41,0.36,0.55,0.92,0.5,2.92,1,40,28,0.19,37,25,0.14,0,-3,0,0,0,80,7,11,0,10.159999999999997,0,10.159999999999997,0.09,0.09,0.05,-0.03,-0.02,-0.19,0.7,-1.76
UFC Fight Night,alptekin ozkilic,louis smolka,Blue,Flyweight,0,Men,Decision - Unanimous,3,3,300,Herb Dean,0,60,193,0.31,63,196,0.32,9,14,0.64,0,0,215,9,5,38,165.1,56.7,165.1,Orthodox,3.81,5.72,0.32,0.58,0.59,0.75,0,4.21,0,92,245,0.37,96,249,0.39,0,1,0,1,1,101,17,9,32,175.26,61.23,172.72,Orthodox,4.67,4.11,0.47,0.35,0.53,0.32,1.8,1.69,0,-32,-52,-0.06,-33,-53,-0.07,9,13,0.64,-1,-1,114,-8,-4,6,-10.16,-4.53,-7.62,-0.86,1.6099999999999994,-0.15,0.2299999999999999,0.06,0.43,-1.8,2.52
