event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC 181,johny hendricks,robbie lawler,Blue,UFC Welterweight Title,1,Men,Decision - Split,5,5,300,Herb Dean,0,111,228,0.48,145,264,0.55,5,17,0.29,1,0,620,18,8,40.0,175.26,83.91,175.26,Southpaw,3.49,3.99,0.45,0.46,0.53,0.63,0.3,3.83,0,116,201,0.57,167,253,0.66,0,0,0.0,0,0,62,30,16,42.0,180.34,77.11,187.96,Southpaw,3.85,4.67,0.47,0.64,0.59,0.65,0.0,0.65,0,-5,27,-0.09,-22,11,-0.11,5,17,0.29,1,0,558,-12,-8,-2.0,-5.08,6.799999999999997,-12.7,-0.36,-0.68,-0.02,-0.18,-0.06,-0.02,0.3,3.18
UFC 171,johny hendricks,robbie lawler,Red,UFC Welterweight Title,1,Men,Decision - Unanimous,5,5,300,Dan Miragliotta,0,158,397,0.39,186,426,0.44,2,10,0.2,0,0,248,18,8,40.0,175.26,83.91,175.26,Southpaw,3.49,3.99,0.45,0.46,0.53,0.63,0.3,3.83,0,150,331,0.45,162,343,0.47,0,0,0.0,0,0,0,30,16,42.0,180.34,77.11,187.96,Southpaw,3.85,4.67,0.47,0.64,0.59,0.65,0.0,0.65,0,8,66,-0.06,24,83,-0.03,2,10,0.2,0,0,248,-12,-8,-2.0,-5.08,6.799999999999997,-12.7,-0.36,-0.68,-0.02,-0.18,-0.06,-0.02,0.3,3.18
UFC 282,tj brown,erik silva,Red,Featherweight,0,Men,Submission,3,3,221,Mark Smith,0,24,38,0.63,82,109,0.75,2,7,0.28,1,2,583,17,11,33.0,175.26,65.77,182.88,Switch,3.37,2.89,0.44,0.57,0.49,0.36,1.3,3.41,0,21,29,0.72,32,42,0.76,3,4,0.75,0,1,155,9,3,37.0,175.26,65.77,180.34,Orthodox,2.07,1.57,0.7,0.8,0.4,0.62,0.0,3.76,0,3,9,-0.09,50,67,-0.01,-1,3,-0.47,1,1,428,8,8,-4.0,0.0,0.0,2.539999999999992,1.3000000000000005,1.32,-0.26,-0.23,0.09,-0.26,1.3,-0.35
UFC Fight Night,matt brown,erick silva,Red,Welterweight,0,Men,KO/TKO,3,5,131,Herb Dean,0,118,166,0.71,161,213,0.76,5,5,1.0,4,0,227,26,19,43.0,182.88,77.11,190.5,Orthodox,3.76,2.92,0.55,0.46,0.55,0.63,1.3,1.68,1,25,54,0.46,39,71,0.55,0,3,0.0,1,0,228,19,9,39.0,182.88,77.11,187.96,Orthodox,2.5,4.18,0.48,0.35,0.49,0.56,1.4,0.85,-1,93,112,0.2499999999999999,122,142,0.2099999999999999,5,2,1.0,3,0,-1,7,10,4.0,0.0,0.0,2.539999999999992,1.2599999999999998,-1.26,0.07,0.11,0.06,0.07,-0.1,0.83
UFC on FX,travis browne,antonio silva,Blue,Heavyweight,0,Men,KO/TKO,1,5,207,Herb Dean,0,8,19,0.42,8,19,0.42,0,0,0.0,0,0,0,18,7,41.0,198.12,115.67,200.66,Orthodox,2.93,4.31,0.41,0.68,0.42,0.75,0.2,1.21,1,15,20,0.75,23,28,0.82,0,2,0.0,0,0,53,19,12,44.0,193.04,119.75,208.28,Orthodox,2.89,3.09,0.45,0.29,0.5,0.66,0.8,0.82,-1,-7,-1,-0.33,-15,-9,-0.4,0,-2,0.0,0,0,-53,-1,-5,-3.0,5.0800000000000125,-4.08,-7.62,0.04,1.2199999999999998,-0.04,0.39,-0.08,0.09,-0.6,0.39
UFC 211,stipe miocic,junior dos santos,Red,UFC Heavyweight Title,1,Men,KO/TKO,1,5,142,Herb Dean,1,26,56,0.46,26,56,0.46,0,0,0.0,0,0,5,20,4,41.0,193.04,108.86,203.2,Orthodox,4.82,3.82,0.53,0.34,0.54,0.68,0.0,1.86,0,12,18,0.66,12,18,0.67,0,0,0.0,0,0,0,21,9,40.0,193.04,107.95,195.58,Orthodox,4.49,3.33,0.47,0.5,0.56,0.81,0.1,0.3,1,14,38,-0.2,14,38,-0.21,0,0,0.0,0,0,5,-1,-5,1.0,0.0,0.9099999999999966,7.619999999999976,0.33,0.4899999999999997,0.06,-0.16,-0.02,-0.13,-0.1,1.56
UFC on FOX,junior dos santos,stipe miocic,Red,Heavyweight,0,Men,Decision - Unanimous,5,5,300,Herb Dean,1,123,303,0.4,140,322,0.43,1,1,1.0,0,0,79,21,9,40.0,193.04,107.95,195.58,Orthodox,4.49,3.33,0.47,0.5,0.56,0.81,0.1,0.3,0,89,193,0.46,102,206,0.5,1,18,0.05,0,0,180,20,4,41.0,193.04,108.86,203.2,Orthodox,4.82,3.82,0.53,0.34,0.54,0.68,0.0,1.86,1,34,110,-0.06,38,116,-0.07,0,-17,0.95,0,0,-101,1,5,-1.0,0.0,-0.91,-7.62,-0.33,-0.49,-0.06,0.1599999999999999,0.02,0.13,0.1,-1.56
UFC 276,jim miller,donald cerrone,Red,Welterweight,0,Men,Submission,2,3,92,Mark Smith,0,24,36,0.66,35,48,0.73,1,1,1.0,1,0,63,37,17,40.0,172.72,70.31,180.34,Southpaw,2.96,3.18,0.42,0.44,0.58,0.48,1.7,1.58,0,21,33,0.63,24,36,0.67,0,0,0.0,0,1,84,36,17,40.0,185.42,70.31,185.42,Orthodox,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,0,3,3,0.03,11,12,0.06,1,1,1.0,1,-1,-21,1,0,0.0,-12.7,0.0,-5.08,-1.45,-1.3,-0.04,0.1099999999999999,0.05,-0.25,0.5,0.4200000000000001
UFC Fight Night,donald cerrone,jim miller,Red,Lightweight,0,Men,KO/TKO,2,5,211,Dan Miragliotta,1,37,78,0.47,41,82,0.5,0,2,0.0,0,0,21,36,17,40.0,185.42,70.31,185.42,Orthodox,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,0,30,65,0.46,34,69,0.49,1,6,0.16,0,0,34,37,17,40.0,172.72,70.31,180.34,Southpaw,2.96,3.18,0.42,0.44,0.58,0.48,1.7,1.58,1,7,13,0.01,7,13,0.01,-1,-4,-0.16,0,0,-13,-1,0,0.0,12.699999999999989,0.0,5.079999999999984,1.4500000000000002,1.3000000000000005,0.04,-0.11,-0.05,0.25,-0.5,-0.42
UFC 191,jessica andrade,raquel pennington,Blue,Women's Bantamweight,0,Women,Submission,2,3,298,Herb Dean,0,41,66,0.62,59,87,0.68,4,5,0.8,1,0,208,25,12,32.0,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,41,68,0.6,66,96,0.69,2,2,1.0,1,0,184,16,9,35.0,170.18,61.23,170.18,Orthodox,4.14,3.29,0.52,0.27,0.6,0.63,0.7,0.9,0,0,-2,0.02,-7,-9,-0.01,2,3,-0.2,0,0,24,9,3,-3.0,-15.24,-9.07,-12.7,2.53,2.0700000000000003,-0.02,0.27,-0.06,0.09,-0.3,1.5500000000000005
