Year,Rank,Fight,Event,Date,Result,Is UFC
2014,1,Hendricks vs. Lawler,UFC 171,Mar 2014,1,True
2014,2,Aldo vs. Mendes II,UFC 179,Oct 2014,2,True
2014,3,Weidman vs. Machida,UFC 175,Jul 2014,3,True
2014,4,Brown vs. Silva,UFC Fight Night 40,May 2014,4,True
2014,5,Rua vs. Henderson II,UFC Fight Night 38,Mar 2014,5,True
2014,6,Barão vs. Dillashaw,UFC 173,May 2014,6,True
2014,7,dos Santos vs. Miocic,UFC on FOX 13,Dec 2014,7,True
2014,8,Lawler vs. Brown,UFC on FOX 12,Jul 2014,8,True
2014,9,Kennedy vs. Romero,UFC 178,Sep 2014,9,True
2014,10,Varner vs. Trujillo,UFC 169,Feb 2014,10,True
2014,11,Saffiedine vs. Lim,UFC Fight Night 34,Jan 2014,11,True
2014,12,Brunson vs. Romero,UFC Fight Night 35,Jan 2014,12,True
2014,13,Pettis vs. Caceres,UFC on FOX 10,Jan 2014,13,True
2014,14,Swanson vs. Stephens,UFC Fight Night 44,Jun 2014,14,True
2014,15,Alvarez vs. Cerrone,UFC 178,Sep 2014,15,True
2014,16,Ozkilic vs. Smolka,UFC Fight Night 35,Jan 2014,16,True
2014,17,Gadelha vs. Jędrzejczyk,UFC on FOX 13,Dec 2014,17,True
2014,18,Straus vs. Curran III,Bellator 112,Mar 2014,18,False
2014,19,Hendricks vs. Lawler II,UFC 181,Dec 2014,19,True
2014,20,Henderson vs. Thomson,UFC on FOX 10,Jan 2014,20,True
2014,21,MacDonald vs. Maia,UFC 170,Feb 2014,21,True
2014,22,Zingano vs. Nunes,UFC 178,Sep 2014,22,True
2014,23,Dillashaw vs. Easton,UFC Fight Night 35,Jan 2014,23,True
2014,24,Poirier vs. Corassani,UFC Fight Night,Apr 2014,24,True
2014,25,Werdum vs. Hunt,UFC 180,Nov 2014,25,True
2014,26,Whittaker vs. Hester,UFC Fight Night 55,Nov 2014,26,True
2014,27,Siver vs. Rosa,UFC Fight Night 53,Oct 2014,27,True
2014,28,Makovsky vs. Sampo,UFC 170,Feb 2014,28,True
2014,29,Gastelum vs. Story,UFC 171,Mar 2014,29,True
2014,30,Jones vs. Teixeira,UFC 172,Apr 2014,30,True
2014,31,Hioki vs. Oliveira,UFC Fight Night 43,Jun 2014,31,True
2014,32,Rousey vs. Davis,UFC 175,Jul 2014,32,True
2014,34,Lauzon vs. Chiesa,UFC Fight Night 50,Sep 2014,34,True
2014,33,Baczynski vs. Jouban,UFC Fight Night 47,Aug 2014,33,True
2014,36,Doane vs. Issa,UFC Fight Night 34,Jan 2014,36,True
2014,35,Hathaway vs. Kim,UFC Fight Night,Mar 2014,35,True
2014,37,Alcântara vs. Reis,UFC Fight Night 36,Feb 2014,37,True
2014,38,Machida vs. Mousasi,UFC Fight Night 36,Feb 2014,38,True
2014,39,Hunt vs. Nelson,UFC Fight Night 52,Sep 2014,39,True
2014,40,Condit vs. Woodley,UFC 171,Mar 2014,40,True
2014,41,Lineker vs. Ozkilic,UFC Fight Night 45,Jul 2014,41,True
2014,43,Thomson vs. Green,UFC on FOX 12,Jul 2014,43,True
2014,42,Ortega vs. Koch,RFA 12,Jan 2014,42,False
2014,45,Nam vs. Tokudome,UFC Fight Night,Mar 2014,45,True
